TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Cluster
TX000001,AC00128,-0.9712754695068417,2023-04-11 16:29:14,1,San Diego,D000380,162.198.218.92,M015,0,1.4237182648914386,0,-0.5524432626288956,-0.2067936485059295,-0.000536635052410607,2024-11-04 08:08:08,0
TX000002,AC00455,0.2694396064236744,2023-06-27 16:44:19,1,Houston,D000051,13.149.61.4,M052,0,1.3112870641052805,0,0.30531436617680696,-0.2067936485059295,2.2164715868484435,2024-11-04 08:09:35,0
TX000003,AC00019,-0.5868816229808057,2023-07-10 18:16:08,1,Mesa,D000235,215.97.143.157,M009,2,-1.443277355155591,3,-0.9098422746312717,-0.2067936485059295,-1.0235341282270716,2024-11-04 08:07:04,0
TX000004,AC00070,-0.38745590278222686,2023-05-05 16:32:11,1,Raleigh,D000187,200.13.225.150,M002,2,-1.0497681524040379,3,-1.353017049514218,-0.2067936485059295,0.8857974429054191,2024-11-04 08:09:06,0
TX000005,AC00411,-0.9734680903782914,2023-10-16 17:51:24,0,Atlanta,D000308,65.164.3.100,M091,2,-1.0497681524040379,3,1.1201841135422244,-0.2067936485059295,0.5935893646592064,2024-11-04 08:06:39,0
TX000006,AC00393,-0.7038442425922038,2023-04-03 17:15:01,1,Oklahoma City,D000579,117.67.192.211,M054,0,-1.49949295554867,3,0.7484891410597533,-0.2067936485059295,-1.1108816933044958,2024-11-04 08:06:36,0
TX000007,AC00199,-0.9952915199894398,2023-02-15 16:36:48,0,Seattle,D000241,140.212.253.222,M019,0,-0.4313965480801688,0,0.2767224452166169,-0.2067936485059295,2.103091796208713,2024-11-04 08:10:09,0
TX000008,AC00069,-0.43226759184248137,2023-05-08 17:47:59,0,Indianapolis,D000500,92.214.76.157,M020,1,1.2550714637122016,2,2.449708438191063,-0.2067936485059295,-0.5943498275623533,2024-11-04 08:10:55,0
TX000009,AC00135,-0.6556065834203091,2023-03-21 16:59:46,0,Detroit,D000690,24.148.92.177,M035,1,0.35562185742293734,1,-0.4809634602284204,-0.2067936485059295,1.0206840106570008,2024-11-04 08:11:14,0
TX000010,AC00385,1.7759071839141245,2023-03-31 16:06:57,1,Nashville,D000199,32.169.88.41,M007,0,0.5804842589952534,0,0.005099196094811046,-0.2067936485059295,-1.049294570483005,2024-11-04 08:06:32,1
TX000011,AC00150,-0.958633639794889,2023-03-14 16:46:10,0,Albuquerque,D000205,213.15.9.253,M073,2,0.41183745781601633,1,-0.8669543931909865,-0.2067936485059295,0.6372080213386072,2024-11-04 08:06:45,0
TX000012,AC00459,-0.3685445477659726,2023-02-06 17:30:00,1,Memphis,D000589,116.175.11.222,M030,2,-1.330846154369433,3,0.7627851015398482,-0.2067936485059295,-0.9193180502003306,2024-11-04 08:07:12,0
TX000013,AC00392,0.674663351228483,2023-06-07 17:21:28,0,Mesa,D000032,210.98.198.143,M057,1,-1.162199353190196,3,-0.12356444822604433,-0.2067936485059295,-0.895931865884976,2024-11-04 08:08:38,1
TX000014,AC00264,1.658739006096028,2023-11-20 16:39:15,1,Memphis,D000054,193.83.0.183,M025,0,-1.0497681524040379,3,0.04798707753509617,-0.2067936485059295,-1.2626675419268705,2024-11-04 08:07:06,1
TX000015,AC00085,-0.4474446394370476,2023-02-13 16:53:57,1,Louisville,D000309,188.124.181.12,M017,2,-1.49949295554867,3,0.20524264281614163,-0.2067936485059295,-1.2344020780640845,2024-11-04 08:10:09,0
TX000016,AC00270,0.575070400083101,2023-12-12 16:23:31,1,Denver,D000466,221.169.49.152,M025,0,-0.4876121484732478,1,0.13376284041566644,-0.2067936485059295,-0.4227417455289484,2024-11-04 08:12:19,1
TX000017,AC00317,0.8846067996697973,2023-10-30 16:52:49,0,Austin,D000671,53.218.177.171,M048,1,-1.443277355155591,3,0.5483456943384226,-0.2067936485059295,-1.021249610057465,2024-11-04 08:07:35,1
TX000018,AC00359,0.669216058750975,2023-12-14 18:32:14,1,Columbus,D000432,114.223.129.47,M059,2,-0.31896534729401077,1,1.6348386908256458,-0.2067936485059295,-0.0011109695866326143,2024-11-04 08:11:51,1
TX000019,AC00242,-0.9555502666944129,2023-02-21 16:56:50,0,Albuquerque,D000530,93.218.115.132,M054,1,0.8053466605675694,2,-0.19504425062651956,-0.2067936485059295,0.7266529330633243,2024-11-04 08:12:01,0
TX000020,AC00285,-0.7746590447998077,2023-06-08 18:18:50,0,Columbus,D000039,120.170.93.69,M039,2,-1.49949295554867,3,0.7056012596194681,-0.2067936485059295,0.3728782439432717,2024-11-04 08:09:20,0
TX000021,AC00002,-0.8163188413573532,2023-02-28 16:36:58,1,Los Angeles,D000152,116.44.12.250,M040,1,1.4799338652845175,2,-1.1671695632729824,-0.2067936485059295,0.1632204990176552,2024-11-04 08:09:24,0
TX000022,AC00014,-0.7257019319044686,2023-08-11 18:31:31,1,Las Vegas,D000268,59.132.247.252,M065,1,-0.3751809476870898,0,-0.38089173686775507,-0.2067936485059295,1.0337731972516602,2024-11-04 08:08:13,0
TX000023,AC00095,-0.8407117485522317,2023-06-06 18:54:15,1,Atlanta,D000142,133.63.96.21,M022,2,-0.31896534729401077,1,0.005099196094811046,-0.2067936485059295,0.9898622453182356,2024-11-04 08:07:01,0
TX000024,AC00453,0.16529011502981078,2023-05-02 18:25:46,1,Fort Worth,D000162,191.82.103.198,M083,2,-1.274630553976354,3,0.319610326656902,3.1124756489183207,-0.9517038515474685,2024-11-04 08:07:04,2
TX000025,AC00241,-0.5209316983317309,2023-03-02 16:43:56,1,Raleigh,D000036,119.186.154.104,M028,2,-1.330846154369433,3,-0.33800385542746997,-0.2067936485059295,-0.8162070533532758,2024-11-04 08:07:09,0
TX000026,AC00041,-0.9938868722436672,2023-10-20 17:53:13,0,Houston,D000671,81.248.235.147,M043,2,1.1426402629260435,2,2.2352690309896377,-0.2067936485059295,-0.37937692420172625,2024-11-04 08:09:44,0
TX000027,AC00441,-0.1735725887125261,2023-04-17 16:37:01,1,Miami,D000046,55.154.161.250,M029,0,-1.218414953583275,3,0.5483456943384226,6.431744946342571,-1.138657434417119,2024-11-04 08:11:38,2
TX000028,AC00057,-0.8814122734785179,2023-03-29 16:42:38,1,Milwaukee,D000310,21.28.32.1,M008,1,-0.4313965480801688,1,-0.35229981590756504,-0.2067936485059295,-0.6224819637654089,2024-11-04 08:11:59,0
TX000029,AC00390,-0.5829074976513031,2023-01-24 16:18:32,1,Las Vegas,D000232,152.234.65.155,M092,2,-0.03788734532861574,0,1.1058881530621294,-0.2067936485059295,-0.8569489093746535,2024-11-04 08:11:22,0
TX000030,AC00313,-0.82711064720902,2023-09-20 16:55:42,1,Detroit,D000297,33.28.138.82,M043,1,-0.9935525520109589,3,2.335340754350303,-0.2067936485059295,-0.9647315022991751,2024-11-04 08:08:30,0
TX000031,AC00367,-0.9225581745193173,2023-07-17 17:49:22,0,Miami,D000587,35.67.21.23,M091,2,0.8053466605675694,0,-1.4244968519146932,-0.2067936485059295,0.8256487204129397,2024-11-04 08:09:17,0
TX000032,AC00291,-0.8170040353796812,2023-02-06 16:24:24,1,Baltimore,D000282,187.199.178.27,M053,0,-0.8811213512248008,0,1.963645781867832,-0.2067936485059295,1.2074709339519887,2024-11-04 08:06:58,0
TX000033,AC00060,0.33867846237992383,2023-09-25 16:26:00,1,New York,D000621,133.67.250.163,M007,0,0.2431906566367793,1,0.6913052991393731,3.1124756489183207,1.1732441853031925,2024-11-04 08:11:13,2
TX000034,AC00359,1.9878034353190734,2023-03-13 17:23:24,1,Los Angeles,D000111,134.140.85.231,M094,2,-1.274630553976354,3,0.4339780104976623,-0.2067936485059295,-1.2090005948920401,2024-11-04 08:07:50,1
TX000035,AC00365,-0.1450342576825629,2023-10-27 16:42:49,0,San Francisco,D000357,92.214.76.157,M002,1,0.018328255064463266,0,-0.995618037511842,-0.2067936485059295,2.487475439210654,2024-11-04 08:10:51,0
TX000036,AC00267,-0.5921233572516154,2023-10-16 16:32:56,1,Seattle,D000042,59.145.242.13,M002,1,0.2431906566367793,1,-1.0670978399123172,-0.2067936485059295,0.16676650196778517,2024-11-04 08:06:23,0
TX000037,AC00404,-0.7518763435574001,2023-11-21 16:58:44,1,Milwaukee,D000250,33.28.138.82,M028,1,-1.0497681524040379,3,0.3624982080971871,-0.2067936485059295,-1.0803881191281433,2024-11-04 08:12:18,0
TX000038,AC00202,1.204866485705928,2023-03-02 17:53:32,1,San Jose,D000448,73.108.76.238,M074,0,1.7047962668568335,2,0.24813052425642676,-0.2067936485059295,-0.0611366203932074,2024-11-04 08:11:15,1
TX000039,AC00478,1.7051609011087532,2023-10-12 17:07:40,1,Mesa,D000077,49.29.37.185,M048,0,1.1988558633191224,0,-0.42377961830804023,1.4528410002061958,0.7180661189780133,2024-11-04 08:11:17,1
TX000040,AC00405,0.1303109601899639,2023-01-24 17:17:20,1,Oklahoma City,D000038,49.20.211.229,M040,2,0.5804842589952534,2,1.3775114021839352,-0.2067936485059295,-1.0499330048536357,2024-11-04 08:07:32,0
TX000041,AC00421,0.10578101419061983,2023-07-31 18:39:50,1,San Antonio,D000557,6.234.101.35,M014,0,1.0302090621398854,2,-0.009196764385283997,-0.2067936485059295,-0.2027203390527713,2024-11-04 08:07:31,0
TX000042,AC00480,-0.9029958851818515,2023-01-09 16:13:21,1,Philadelphia,D000627,109.105.179.186,M046,2,-0.3751809476870898,0,-1.4387928123947882,-0.2067936485059295,2.3332794367393115,2024-11-04 08:11:45,0
TX000043,AC00120,-0.19244968402766394,2023-04-20 18:57:43,0,Charlotte,D000198,60.89.202.192,M044,2,0.6929154597814113,0,-0.052084645825569126,-0.2067936485059295,2.113427253831254,2024-11-04 08:09:03,0
TX000044,AC00117,-0.8300227218039142,2023-04-12 16:03:37,1,Tucson,D000197,173.135.78.201,M009,0,-1.443277355155591,3,-0.03778868534547408,-0.2067936485059295,-1.2493091360192947,2024-11-04 08:08:03,0
TX000045,AC00011,0.023009576293391343,2023-07-26 16:52:28,1,Louisville,D000685,77.208.193.198,M005,1,-0.9935525520109589,3,-1.2386493656734576,-0.2067936485059295,-1.0885928981884585,2024-11-04 08:09:53,0
TX000046,AC00401,0.47167462211379824,2023-10-04 17:49:29,1,Chicago,D000297,197.162.55.147,M051,1,1.6485806664637546,2,-0.42377961830804023,-0.2067936485059295,-0.11307799983191522,2024-11-04 08:11:12,0
TX000047,AC00282,-0.4560095647161482,2023-12-13 16:01:38,1,Baltimore,D000103,113.115.81.178,M070,1,-1.0497681524040379,3,-0.6382190255094659,-0.2067936485059295,-0.9243280934140357,2024-11-04 08:10:33,0
TX000048,AC00439,0.7285196013834677,2023-10-09 16:29:40,1,Oklahoma City,D000397,186.135.2.148,M090,2,-1.443277355155591,3,-0.20934021110661458,-0.2067936485059295,-1.1108765653175832,2024-11-04 08:11:35,1
TX000049,AC00296,1.128193274607419,2023-11-27 16:45:57,1,Denver,D000284,93.146.251.20,M023,2,-1.0497681524040379,3,0.2624264847365218,-0.2067936485059295,-1.243227343540836,2024-11-04 08:07:24,1
TX000050,AC00471,-0.9441417862226509,2023-03-27 16:45:18,0,Sacramento,D000304,124.6.134.78,M055,2,-0.20653414650785276,1,0.7913770225000384,-0.2067936485059295,-0.9689877314367137,2024-11-04 08:06:31,0
TX000051,AC00159,0.43765473890521056,2023-02-13 16:59:39,0,Kansas City,D000661,139.23.212.102,M040,2,1.3675026644983594,2,0.019395156574906088,-0.2067936485059295,-0.30941323475834487,2024-11-04 08:07:07,0
TX000052,AC00482,0.43498248221813124,2023-02-21 17:45:55,1,Omaha,D000598,179.43.245.131,M015,2,0.35562185742293734,1,2.0637175052284973,-0.2067936485059295,0.017831814068870102,2024-11-04 08:09:02,0
